GameID,DateTime_ET,Visitor,Visitor PTS,Home,Home PTS,Winner,Kalshi Odds (Visitor win),Kalshi Odds (Home win)
KXNBAGAME-25OCT21HOUOKC-OKC,2025-10-21 19:30:00,Houston Rockets,124,Oklahoma City Thunder,125,Oklahoma City Thunder,0.31000000000000005,0.69
KXNBAGAME-25OCT21GSWLAL-LAL,2025-10-21 22:00:00,Golden State Warriors,119,Los Angeles Lakers,109,Golden State Warriors,0.56,0.44
KXNBAGAME-25OCT22BKNCHA-CHA,2025-10-22 19:00:00,Brooklyn Nets,117,Charlotte Hornets,136,Charlotte Hornets,0.33999999999999997,0.66
KXNBAGAME-25OCT22CLENYK-NYK,2025-10-22 19:00:00,Cleveland Cavaliers,111,New York Knicks,119,New York Knicks,0.53,0.47
KXNBAGAME-25OCT22MIAORL-ORL,2025-10-22 19:00:00,Miami Heat,121,Orlando Magic,125,Orlando Magic,0.24,0.76
KXNBAGAME-25OCT22PHIBOS-BOS,2025-10-22 19:30:00,Philadelphia 76ers,117,Boston Celtics,116,Philadelphia 76ers,0.35,0.65
KXNBAGAME-25OCT22TORATL-ATL,2025-10-22 19:30:00,Toronto Raptors,138,Atlanta Hawks,118,Toronto Raptors,0.33999999999999997,0.66
KXNBAGAME-25OCT22DETCHI-CHI,2025-10-22 20:00:00,Detroit Pistons,111,Chicago Bulls,115,Chicago Bulls,0.5900000000000001,0.41
KXNBAGAME-25OCT22NOPMEM-MEM,2025-10-22 20:00:00,New Orleans Pelicans,122,Memphis Grizzlies,128,Memphis Grizzlies,0.38,0.62
KXNBAGAME-25OCT22WASMIL-MIL,2025-10-22 20:00:00,Washington Wizards,120,Milwaukee Bucks,133,Milwaukee Bucks,0.18999999999999995,0.81
KXNBAGAME-25OCT22LACUTA-UTA,2025-10-22 21:00:00,Los Angeles Clippers,108,Utah Jazz,129,Utah Jazz,0.79,0.21
KXNBAGAME-25OCT22SASDAL-DAL,2025-10-22 21:30:00,San Antonio Spurs,125,Dallas Mavericks,92,San Antonio Spurs,0.39,0.61
KXNBAGAME-25OCT22MINPOR-POR,2025-10-22 22:00:00,Minnesota Timberwolves,118,Portland Trail Blazers,114,Minnesota Timberwolves,0.64,0.36
KXNBAGAME-25OCT22SACPHX-PHX,2025-10-22 22:00:00,Sacramento Kings,116,Phoenix Suns,120,Phoenix Suns,0.39,0.61
KXNBAGAME-25OCT23OKCIND-IND,2025-10-23 19:30:00,Oklahoma City Thunder,141,Indiana Pacers,135,Oklahoma City Thunder,0.71,0.29
KXNBAGAME-25OCT23DENGSW-GSW,2025-10-23 22:00:00,Denver Nuggets,131,Golden State Warriors,137,Golden State Warriors,0.48,0.52
KXNBAGAME-25OCT24MILTOR-TOR,2025-10-24 18:30:00,Milwaukee Bucks,122,Toronto Raptors,116,Milwaukee Bucks,0.44999999999999996,0.55
KXNBAGAME-25OCT24ATLORL-ORL,2025-10-24 19:00:00,Atlanta Hawks,111,Orlando Magic,107,Atlanta Hawks,0.32999999999999996,0.67
KXNBAGAME-25OCT24CLEBKN-BKN,2025-10-24 19:30:00,Cleveland Cavaliers,131,Brooklyn Nets,124,Cleveland Cavaliers,0.84,0.16
KXNBAGAME-25OCT24BOSNYK-NYK,2025-10-24 19:30:00,Boston Celtics,95,New York Knicks,105,New York Knicks,0.38,0.62
KXNBAGAME-25OCT24DETHOU-HOU,2025-10-24 20:00:00,Detroit Pistons,115,Houston Rockets,111,Detroit Pistons,0.29000000000000004,0.71
KXNBAGAME-25OCT24SASNOP-NOP,2025-10-24 20:00:00,San Antonio Spurs,120,New Orleans Pelicans,116,San Antonio Spurs,0.62,0.38
KXNBAGAME-25OCT24MIAMEM-MEM,2025-10-24 20:00:00,Miami Heat,146,Memphis Grizzlies,114,Miami Heat,0.41000000000000003,0.59
KXNBAGAME-25OCT24WASDAL-DAL,2025-10-24 20:30:00,Washington Wizards,117,Dallas Mavericks,107,Washington Wizards,0.19999999999999996,0.8
KXNBAGAME-25OCT24MINLAL-LAL,2025-10-24 22:00:00,Minnesota Timberwolves,110,Los Angeles Lakers,128,Los Angeles Lakers,0.53,0.47
KXNBAGAME-25OCT24GSWPOR-POR,2025-10-24 22:00:00,Golden State Warriors,119,Portland Trail Blazers,139,Portland Trail Blazers,0.5900000000000001,0.41
KXNBAGAME-25OCT24UTASAC-SAC,2025-10-24 22:00:00,Utah Jazz,104,Sacramento Kings,105,Sacramento Kings,0.32999999999999996,0.67
